,Unnamed: 0,Match ID,Competition,Match,Date,Nationality,Team Country Code,Season,Status,Name,Market Value,Lookup Still Required?,Lookup Return Case,Impute Required?,Name(s) Found,ORIGINAL JERSEY,Match Case,Status New,Market Value New
192,192,2137,"World Cup Qualifiers, Africa, 2022",Namibia vs Togo,15-11-2021,Namibia,NB,2021,SUCCESS,Aprocius Petrus,0.0,True,Had Both but Both Were Empty,False,Aprocius Petrus,A Petrus,none,Done,0
193,193,2137,"World Cup Qualifiers, Africa, 2022",Namibia vs Togo,15-11-2021,Namibia,NB,2021,SUCCESS,Alfeus Handura,0.0,True,Only Before X,False,Alfeus Handura,A Handura,none,Done,0
194,194,2137,"World Cup Qualifiers, Africa, 2022",Namibia vs Togo,15-11-2021,Namibia,NB,2021,SUCCESS,Denzil Haoseb,160000.0,True,Used Season Before * .8 But Had Both,False,Denzil Haoseb,D Haoseb,none,Done,160000
195,195,2137,"World Cup Qualifiers, Africa, 2022",Namibia vs Togo,15-11-2021,Namibia,NB,2021,SUCCESS,Absalom Iimbondi,120000.0,True,Used Season Before * 1.2 But Had Both,False,Absalom Iimbondi,A Iimbondi,none,Done,120000
196,196,2137,"World Cup Qualifiers, Africa, 2022",Namibia vs Togo,15-11-2021,Namibia,NB,2021,SUCCESS,Prins Tjiueza,0.0,True,Only Before X,False,Prins Tjiueza,P Tjiueza,none,Done,0
197,197,2137,"World Cup Qualifiers, Africa, 2022",Namibia vs Togo,15-11-2021,Namibia,NB,2021,SUCCESS,Wendell Rudath,0.0,True,Had Both but Both Were Empty,False,Wendell Rudath,W Rudath,none,Done,0
198,198,2146,"World Cup Qualifiers, Africa, 2022",Namibia vs Senegal,12-10-2021,Namibia,NB,2021,SUCCESS,Larry Horaeb,60000.0,True,Only Before,False,Larry Horaeb,L Horaeb,none,Done,60000
199,199,2146,"World Cup Qualifiers, Africa, 2022",Namibia vs Senegal,12-10-2021,Namibia,NB,2021,SUCCESS,Charles Hambira,40000.0,True,Used Season Before * .8 But Had Both,False,Charles Hambira,C Hambira,none,Done,40000
200,200,2146,"World Cup Qualifiers, Africa, 2022",Namibia vs Senegal,12-10-2021,Namibia,NB,2021,SUCCESS,Wesley Katjiteo,40000.0,True,Only Before,False,Wesley Katjiteo,W Katjiteo,none,Done,40000
201,201,2146,"World Cup Qualifiers, Africa, 2022",Namibia vs Senegal,12-10-2021,Namibia,NB,2021,SUCCESS,Denzil Haoseb,160000.0,True,Used Season Before * .8 But Had Both,False,Denzil Haoseb,D Haoseb,none,Done,160000
202,202,2162,"World Cup Qualifiers, Africa, 2022",Senegal vs Namibia,09-10-2021,Namibia,NB,2021,SUCCESS,Ivan Kamberipa,60000.0,True,Used Season Before * 1.2 But Had Both,False,Ivan Kamberipa,I Kamberipa,none,Done,60000
203,203,2162,"World Cup Qualifiers, Africa, 2022",Senegal vs Namibia,09-10-2021,Namibia,NB,2021,SUCCESS,Charles Hambira,40000.0,True,Used Season Before * .8 But Had Both,False,Charles Hambira,C Hambira,none,Done,40000
204,204,2162,"World Cup Qualifiers, Africa, 2022",Senegal vs Namibia,09-10-2021,Namibia,NB,2021,SUCCESS,Wesley Katjiteo,40000.0,True,Only Before,False,Wesley Katjiteo,W Katjiteo,none,Done,40000
205,205,2162,"World Cup Qualifiers, Africa, 2022",Senegal vs Namibia,09-10-2021,Namibia,NB,2021,SUCCESS,Denzil Haoseb,160000.0,True,Used Season Before * .8 But Had Both,False,Denzil Haoseb,D Haoseb,none,Done,160000
