Team Name,Interval Range,Total Matches,Total Wins,Win Percentage,Interval Side
Azerbaijan,$5000000.0 - $10000000,4,2,50.0,More Valuable
Azerbaijan,$10000000 - $50000000.0,0,0,0.0,More Valuable
Azerbaijan,$50000000.0 - $100000000,0,0,0.0,More Valuable
Azerbaijan,$100000000 - $500000000.0,0,0,0.0,More Valuable
Azerbaijan,$500000000.0 - $1000000000,0,0,0.0,More Valuable
Azerbaijan,$-100000 - $-500000.0,0,0,0,Less Valuable
Azerbaijan,$-1000000 - $-5000000.0,0,0,0,Less Valuable
Azerbaijan,$-5000000.0 - $-10000000,5,1,20.0,Less Valuable
Azerbaijan,$-10000000 - $-50000000.0,20,2,10.0,Less Valuable
Azerbaijan,$-50000000.0 - $-100000000,7,0,0.0,Less Valuable
Azerbaijan,$-100000000 - $-500000000.0,24,2,8.333333333333332,Less Valuable
Azerbaijan,$-500000000.0 - $-1000000000,0,0,0,Less Valuable
Bahamas,$-100000 - $-500000.0,4,2,50.0,Less Valuable
Bahamas,$-1000000 - $-5000000.0,3,0,0.0,Less Valuable
Bahamas,$-5000000.0 - $-10000000,1,0,0.0,Less Valuable
Bahamas,$-10000000 - $-50000000.0,0,0,0.0,Less Valuable
Bahamas,$-50000000.0 - $-100000000,0,0,0.0,Less Valuable
Bahamas,$-100000000 - $-500000000.0,0,0,0.0,Less Valuable
Bahamas,$-500000000.0 - $-1000000000,0,0,0.0,Less Valuable
Bahrain,$100000 - $500000.0,2,1,50.0,More Valuable
Bahrain,$1000000 - $5000000.0,9,7,77.77777777777779,More Valuable
Bahrain,$5000000.0 - $10000000,0,0,0.0,More Valuable
Bahrain,$10000000 - $50000000.0,0,0,0.0,More Valuable
Bahrain,$50000000.0 - $100000000,0,0,0.0,More Valuable
Bahrain,$100000000 - $500000000.0,0,0,0.0,More Valuable
Bahrain,$500000000.0 - $1000000000,0,0,0.0,More Valuable
Bahrain,$-100000 - $-500000.0,3,1,33.33333333333333,Less Valuable
Bahrain,$-1000000 - $-5000000.0,2,0,0.0,Less Valuable
Bahrain,$-5000000.0 - $-10000000,2,0,0.0,Less Valuable
Bahrain,$-10000000 - $-50000000.0,6,1,16.666666666666664,Less Valuable
Bahrain,$-50000000.0 - $-100000000,0,0,0.0,Less Valuable
Bahrain,$-100000000 - $-500000000.0,0,0,0.0,Less Valuable
Bahrain,$-500000000.0 - $-1000000000,0,0,0.0,Less Valuable
Bangladesh,$100000 - $500000.0,4,2,50.0,More Valuable
Bangladesh,$1000000 - $5000000.0,0,0,0.0,More Valuable
Bangladesh,$5000000.0 - $10000000,0,0,0.0,More Valuable
Bangladesh,$10000000 - $50000000.0,0,0,0.0,More Valuable
Bangladesh,$50000000.0 - $100000000,0,0,0.0,More Valuable
Bangladesh,$100000000 - $500000000.0,0,0,0.0,More Valuable
Bangladesh,$500000000.0 - $1000000000,0,0,0.0,More Valuable
Bangladesh,$-100000 - $-500000.0,9,1,11.11111111111111,Less Valuable
Bangladesh,$-1000000 - $-5000000.0,8,1,12.5,Less Valuable
Bangladesh,$-5000000.0 - $-10000000,1,0,0.0,Less Valuable
Bangladesh,$-10000000 - $-50000000.0,4,0,0.0,Less Valuable
Bangladesh,$-50000000.0 - $-100000000,0,0,0.0,Less Valuable
Bangladesh,$-100000000 - $-500000000.0,0,0,0.0,Less Valuable
Bangladesh,$-500000000.0 - $-1000000000,0,0,0.0,Less Valuable
Barbados,$100000 - $500000.0,4,2,50.0,More Valuable
Barbados,$1000000 - $5000000.0,0,0,0.0,More Valuable
Barbados,$5000000.0 - $10000000,0,0,0.0,More Valuable
Barbados,$10000000 - $50000000.0,0,0,0.0,More Valuable
Barbados,$50000000.0 - $100000000,0,0,0.0,More Valuable
Barbados,$100000000 - $500000000.0,0,0,0.0,More Valuable
Barbados,$500000000.0 - $1000000000,0,0,0.0,More Valuable
Barbados,$-100000 - $-500000.0,5,1,20.0,Less Valuable
Barbados,$-1000000 - $-5000000.0,2,0,0.0,Less Valuable
Barbados,$-5000000.0 - $-10000000,1,0,0.0,Less Valuable
Barbados,$-10000000 - $-50000000.0,1,0,0.0,Less Valuable
