"interval","sum_rank_prediction_correct","average_rank_prediction_correct","sample_size","seasons"
117,1,0.0222222222222222,45,"2017_2018"
119,1,0.0238095238095238,42,"2017_2018"
121,1,0.0238095238095238,42,"2017_2018"
123,1,0.0277777777777778,36,"2017_2018"
125,1,0.0277777777777778,36,"2017_2018"
127,1,0.0344827586206897,29,"2017_2018"
129,1,0.0384615384615385,26,"2017_2018"
131,1,0.04,25,"2017_2018"
133,1,0.0454545454545455,22,"2017_2018"
135,1,0.0454545454545455,22,"2017_2018"
137,1,0.0454545454545455,22,"2017_2018"
139,1,0.0454545454545455,22,"2017_2018"
141,1,0.0476190476190476,21,"2017_2018"
143,1,0.0555555555555556,18,"2017_2018"
145,1,0.0555555555555556,18,"2017_2018"
147,1,0.0588235294117647,17,"2017_2018"
149,1,0.0625,16,"2017_2018"
151,1,0.0625,16,"2017_2018"
153,1,0.0625,16,"2017_2018"
155,0,0,15,"2017_2018"
157,0,0,15,"2017_2018"
159,0,0,14,"2017_2018"
161,0,0,12,"2017_2018"
163,0,0,10,"2017_2018"
165,0,0,9,"2017_2018"
167,0,0,9,"2017_2018"
169,0,0,9,"2017_2018"
171,0,0,9,"2017_2018"
173,0,0,8,"2017_2018"
175,0,0,7,"2017_2018"
177,0,0,6,"2017_2018"
179,0,0,4,"2017_2018"
181,0,0,3,"2017_2018"
183,0,0,2,"2017_2018"
185,0,0,2,"2017_2018"
187,0,0,2,"2017_2018"
189,0,0,2,"2017_2018"
191,0,0,2,"2017_2018"
193,0,0,2,"2017_2018"
195,0,0,2,"2017_2018"
197,0,0,2,"2017_2018"
199,0,0,1,"2017_2018"
201,0,0,1,"2017_2018"
203,0,NA,0,"2017_2018"
205,0,NA,0,"2017_2018"
207,0,NA,0,"2017_2018"
209,0,NA,0,"2017_2018"
1,127,0.158948685857322,799,"2019_2020"
3,122,0.157014157014157,777,"2019_2020"
5,114,0.152202937249666,749,"2019_2020"
7,110,0.14945652173913,736,"2019_2020"
