"interval","sum_rank_prediction_correct","average_rank_prediction_correct","sample_size","seasons"
173,209,0.174603174603175,1197,"2021_2022"
175,209,0.174603174603175,1197,"2021_2022"
177,209,0.174603174603175,1197,"2021_2022"
179,209,0.174457429048414,1198,"2021_2022"
181,209,0.174311926605505,1199,"2021_2022"
183,209,0.174166666666667,1200,"2021_2022"
185,209,0.174166666666667,1200,"2021_2022"
187,209,0.1738768718802,1202,"2021_2022"
189,209,0.1738768718802,1202,"2021_2022"
191,209,0.1738768718802,1202,"2021_2022"
193,209,0.1738768718802,1202,"2021_2022"
195,209,0.1738768718802,1202,"2021_2022"
197,209,0.1738768718802,1202,"2021_2022"
199,209,0.1738768718802,1202,"2021_2022"
201,209,0.1738768718802,1202,"2021_2022"
203,209,0.1738768718802,1202,"2021_2022"
205,209,0.173732335827099,1203,"2021_2022"
207,209,0.17358803986711,1204,"2021_2022"
209,209,0.17358803986711,1204,"2021_2022"
