,TeamName,Starter_1,Starter_2,Starter_3,Starter_4,Starter_5,Starter_6,Starter_7,Starter_8,Starter_9,Starter_10,Starter_11,Sub_1,Sub_2,Sub_3,Sub_4,Sub_5,Unused_1,Unused_2,Unused_3,Unused_4,Unused_5,Unused_6,Unused_7,Unused_8,Unused_9,Unused_10,Unused_11,Unused_12,Unused_13,Unused_14,Unused_15,Competition,Date,Match
27,Mali,16 Soumbeyla Diakite,4 Salif Coulibaly,23 Molla Wagué,3 Adama Tamboura,15 Drissa Diakité,8 Yacouba Sylla,17 Mamoutou N'Diaye,12 Seydou Keita,10 Bakary Sako,14 Sambou Yatabaré,7 Mustapha Yatabaré,6 Tongo Doumbia,21 Abdou Traoré,20 Modibo Maïga,-,-,1 Germain Berthe,22 Abdoulaye Samake,5 Idrissa Coulibaly,19 Mohamed Konate,2 Fousseni Diawara,13 Ousmane Coulibaly,11 Sigamary Diarra,18 Abdoulay Diaby,9 Mohamed Traoré,-,-,-,-,-,-,African Cup of Nations 2015,"Jan 20, 2015",Mali vs Cameroon
27,Cameroon,16 Fabrice Ondoa,3 Nicolas N'Koulou,21 Aurélien Chedjou,12 Henri Bedimo,6 Ambroise Oyongo,4 Raoul Loé,18 Eyong Enoh,11 Edgar Salli,8 Benjamin Moukandjo,13 Eric-Maxim Choupo-Moting,10 Vincent Aboubakar,20 Franck Kom,15 Franck Etoundi,-,-,-,1 Guy Ndy Assembé,23 Pierre Sylvain Abogo,9 Macky Bagnack,5 Jérôme Guihoata,19 Cédric Djeugoué,14 Georges Mandjeck,22 Patrick Ekeng,7 Clinton N'Jie,2 Léonard Kweuke,-,-,-,-,-,-,African Cup of Nations 2015,"Jan 20, 2015",Mali vs Cameroon
28,Ivory Coast,16 Sylvain Gbohouo,22 Wilfried Kanon,4 Kolo Touré,21 Eric Bailly,9 Cheik Tioté,14 Ismaël Diomandé,17 Serge Aurier,5 Siaka Tiéné,19 Yaya Touré,7 Seydou Doumbia,12 Wilfried Bony,8 Salomon Kalou,15 Max Gradel,11 Junior Tallo,-,-,1 Boubacar Copa,23 Mandé Sayouba,2 Ousmane Viera,6 Cheick Doukouré,20 Geoffroy Serey Dié,13 Jean-Daniel Akpa Akpro,18 Lacina Traoré,3 Roger Assalé,-,-,-,-,-,-,-,African Cup of Nations 2015,"Jan 24, 2015",Ivory Coast vs Mali
28,Mali,16 Soumbeyla Diakite,4 Salif Coulibaly,23 Molla Wagué,3 Adama Tamboura,15 Drissa Diakité,8 Yacouba Sylla,17 Mamoutou N'Diaye,12 Seydou Keita,10 Bakary Sako,14 Sambou Yatabaré,7 Mustapha Yatabaré,1 Germain Berthe,6 Tongo Doumbia,20 Modibo Maïga,-,-,22 Abdoulaye Samake,5 Idrissa Coulibaly,19 Mohamed Konate,2 Fousseni Diawara,13 Ousmane Coulibaly,21 Abdou Traoré,11 Sigamary Diarra,18 Abdoulay Diaby,9 Mohamed Traoré,-,-,-,-,-,-,African Cup of Nations 2015,"Jan 24, 2015",Ivory Coast vs Mali
29,Cameroon,16 Fabrice Ondoa,3 Nicolas N'Koulou,21 Aurélien Chedjou,12 Henri Bedimo,6 Ambroise Oyongo,4 Raoul Loé,17 Stéphane Mbia,11 Edgar Salli,8 Benjamin Moukandjo,13 Eric-Maxim Choupo-Moting,10 Vincent Aboubakar,5 Jérôme Guihoata,20 Franck Kom,15 Franck Etoundi,-,-,1 Guy Ndy Assembé,23 Pierre Sylvain Abogo,9 Macky Bagnack,19 Cédric Djeugoué,14 Georges Mandjeck,22 Patrick Ekeng,7 Clinton N'Jie,2 Léonard Kweuke,-,-,-,-,-,-,-,African Cup of Nations 2015,"Jan 24, 2015",Cameroon vs Guinea
29,Guinea,1 Naby-Moussa Yattara,4 Florentin Pogba,5 Fodé Camara,3 Issiaga Sylla,20 Baissama Sankoh,17 Boubacar Fofana,10 Kévin Constant,18 Seydouba Soumah,12 Ibrahima Conté,8 Ibrahima Traoré,2 Mohamed Yattara,13 Abdoulaye Cissé,15 Naby Keïta,19 François Kamano,-,-,16 Abdul Aziz Keita,22 Buba Camara,6 Kamil Zayatte,14 Lanfia Camara,23 Djibril Paye,21 Mohammed Diarra,9 Guy-Michel Landel,7 Abdoul Camara,11 Idrissa Sylla,-,-,-,-,-,-,African Cup of Nations 2015,"Jan 24, 2015",Cameroon vs Guinea
30,Cameroon,16 Fabrice Ondoa,3 Nicolas N'Koulou,21 Aurélien Chedjou,12 Henri Bedimo,5 Jérôme Guihoata,14 Georges Mandjeck,17 Stéphane Mbia,11 Edgar Salli,8 Benjamin Moukandjo,13 Eric-Maxim Choupo-Moting,15 Franck Etoundi,7 Clinton N'Jie,2 Léonard Kweuke,10 Vincent Aboubakar,-,-,1 Guy Ndy Assembé,23 Pierre Sylvain Abogo,9 Macky Bagnack,19 Cédric Djeugoué,6 Ambroise Oyongo,4 Raoul Loé,18 Eyong Enoh,20 Franck Kom,22 Patrick Ekeng,-,-,-,-,-,-,African Cup of Nations 2015,"Jan 28, 2015",Cameroon vs Ivory Coast
30,Ivory Coast,16 Sylvain Gbohouo,22 Wilfried Kanon,4 Kolo Touré,21 Eric Bailly,20 Geoffroy Serey Dié,19 Yaya Touré,17 Serge Aurier,5 Siaka Tiéné,7 Seydou Doumbia,15 Max Gradel,12 Wilfried Bony,2 Ousmane Viera,6 Cheick Doukouré,11 Junior Tallo,-,-,1 Boubacar Copa,23 Mandé Sayouba,14 Ismaël Diomandé,13 Jean-Daniel Akpa Akpro,8 Salomon Kalou,18 Lacina Traoré,3 Roger Assalé,-,-,-,-,-,-,-,-,African Cup of Nations 2015,"Jan 28, 2015",Cameroon vs Ivory Coast
31,Guinea,1 Naby-Moussa Yattara,5 Fodé Camara,13 Abdoulaye Cissé,3 Issiaga Sylla,20 Baissama Sankoh,17 Boubacar Fofana,10 Kévin Constant,15 Naby Keïta,12 Ibrahima Conté,8 Ibrahima Traoré,2 Mohamed Yattara,23 Djibril Paye,18 Seydouba Soumah,7 Abdoul Camara,-,-,16 Abdul Aziz Keita,22 Buba Camara,6 Kamil Zayatte,14 Lanfia Camara,21 Mohammed Diarra,9 Guy-Michel Landel,19 François Kamano,11 Idrissa Sylla,-,-,-,-,-,-,-,African Cup of Nations 2015,"Jan 28, 2015",Guinea vs Mali
31,Mali,1 Germain Berthe,4 Salif Coulibaly,23 Molla Wagué,3 Adama Tamboura,15 Drissa Diakité,8 Yacouba Sylla,17 Mamoutou N'Diaye,12 Seydou Keita,18 Abdoulay Diaby,20 Modibo Maïga,7 Mustapha Yatabaré,14 Sambou Yatabaré,21 Abdou Traoré,10 Bakary Sako,-,-,22 Abdoulaye Samake,5 Idrissa Coulibaly,19 Mohamed Konate,2 Fousseni Diawara,13 Ousmane Coulibaly,6 Tongo Doumbia,11 Sigamary Diarra,9 Mohamed Traoré,-,-,-,-,-,-,-,African Cup of Nations 2015,"Jan 28, 2015",Guinea vs Mali
