,DF index,Match ID,Competition,Date,Match,Season,Nationality,Country Code,ORIGINAL JERSEY,English Name,Name(s) Found,Market Value New,Status,Status New,Lookup Return Case,Match Case
57,1065,524,"Euros 2016, Qualifiers",07.09.15,Finland vs Faroe Islands,2015,Faroe Islands,FO,8. Хенриксен,Henriksen,Brandur Hendriksson,300000,SUCCESS,Done,Found in Curr Season,single
58,1069,524,"Euros 2016, Qualifiers",07.09.15,Finland vs Faroe Islands,2015,Faroe Islands,FO,11. К. Ольсен,Colsen,Klaemint Olsen,100000,SUCCESS,Done,Found in Curr Season,single
37,881,507,"Euros 2016, Qualifiers",11.10.14,Finland vs Greece,2014,Finland,FI,22. Хурме,Jarkko Hurme,Jarkko Hurme,400000,SUCCESS,Done,Found in Curr Season,single
33,846,1459,Nations League 2018-2020,15.10.18,Finland vs Greece,2018,Greece,GR,6. Циолис,Ciolis,Alexandros Tziolis,1300000,SUCCESS,Done,Found in Curr Season,single
129,1122,531,"Euros 2016, Qualifiers",11.10.15,Finland vs Northern Ireland,2015,Finland,FI,5. Япасто,Ville Jalasto,Ville Jalasto,400000,SUCCESS,Done,Found in Curr Season,single
130,1128,531,"Euros 2016, Qualifiers",11.10.15,Finland vs Northern Ireland,2015,Finland,FI,Jere Uronen,Dropped,Jere Uronen,900000,SUCCESS,Done,Found in Curr Season,single
44,955,510,"Euros 2016, Qualifiers",14.10.14,Finland vs Romania,2014,Romania,RO,4. Лукин,Srdjan Luchin,Srdjan Luchin,2220000,SUCCESS,Done,Found in Curr Season,single
45,958,510,"Euros 2016, Qualifiers",14.10.14,Finland vs Romania,2014,Romania,RO,7. Кипчу,Kipchu,Alexandru Chipciu,3500000,SUCCESS,Done,Found in Curr Season,single
62,509,461,"Euros 2016, Qualifiers",04.09.15,Georgia vs Scotland,2015,Georgia,GE,8. Казаишвили,Kazaishvili,Valeri Qazaishvili,3000000,SUCCESS,Done,Found in Curr Season,single
63,517,461,"Euros 2016, Qualifiers",04.09.15,Georgia vs Scotland,2015,Scotland,SC,4. Мартин Р.,R Martin,Russell Martin,3000000,SUCCESS,Done,Found in Curr Season,single
81,470,450,"Euros 2016, Qualifiers",14.10.14,Gibraltar vs Georgia,2014,Gibraltar,GI,5. Р.Кашаро,R Kasharo,Ryan Casciaro,0,SUCCESS,Done,Had Both but Both Were Empty,single
82,476,450,"Euros 2016, Qualifiers",14.10.14,Gibraltar vs Georgia,2014,Gibraltar,GI,7. Л.Кашаро,L Kasharo,Lee Casciaro,25000,SUCCESS,Done,Found in Curr Season,single
137,1808,1531,Nations League 2018-2020,16.10.18,Gibraltar vs Liechtenstein,2018,Gibraltar,GI,19. Кабрера Дж.,George Cabrera,George Cabrera,25000,SUCCESS,Done,Found in Curr Season,single
51,1026,522,"Euros 2016, Qualifiers",04.09.15,Greece vs Finland,2015,Finland,FI,15. Халсти,Khalsti,Markus Halsti,275000,SUCCESS,Done,Found in Curr Season,single
52,1027,522,"Euros 2016, Qualifiers",04.09.15,Greece vs Finland,2015,Finland,FI,Jere Uronen,Dropped,Jere Uronen,900000,SUCCESS,Done,Found in Curr Season,single
59,1089,527,"Euros 2016, Qualifiers",08.10.15,Hungary vs Faroe Islands,2015,Faroe Islands,FO,Jónas Tór Naes,Nes,Jónas Tór Naes,100000,SUCCESS,Done,Found in Curr Season,single
54,1048,523,"Euros 2016, Qualifiers",04.09.15,Hungary vs Romania,2015,Romania,RO,17. Сынмэртян,Lucian Sânmărtean,Lucian Sânmărtean,400000,SUCCESS,Done,Found in Curr Season,single
53,1040,523,"Euros 2016, Qualifiers",04.09.15,Hungary vs Romania,2015,Hungary,HU,23. Юхас,Yuhas,Roland Juhász,1200000,SUCCESS,Done,Found in Curr Season,single
87,2055,376,"Euros 2016, Qualifiers",06.09.15,Iceland vs Kazakhstan,2015,Kazakhstan,KZ,2. Малый,Sergey Maliy,Sergey Maliy,300000,SUCCESS,Done,Found in Curr Season,single
88,2056,376,"Euros 2016, Qualifiers",06.09.15,Iceland vs Kazakhstan,2015,Kazakhstan,KZ,Mark Gurman,The Gourmand,Mark Gurman,360000,SUCCESS,Done,Only Before,single
89,2064,376,"Euros 2016, Qualifiers",06.09.15,Iceland vs Kazakhstan,2015,Kazakhstan,KZ,Yuriy Logvinenko,Yuriy Logvinenko,Yuriy Logvinenko,800000,SUCCESS,Done,Found in Curr Season,single
78,431,446,"Euros 2016, Qualifiers",11.10.14,Ireland vs Gibraltar,2014,Gibraltar,GI,5. Р.Кашаро,R Kasharo,Ryan Casciaro,0,SUCCESS,Done,Had Both but Both Were Empty,single
79,438,446,"Euros 2016, Qualifiers",11.10.14,Ireland vs Gibraltar,2014,Gibraltar,GI,7. Л.Кашаро,L Kasharo,Lee Casciaro,25000,SUCCESS,Done,Found in Curr Season,single
162,1435,567,"Euros 2016, Qualifiers",10.10.14,Italy vs Azerbaijan,2014,Azerbaijan,AZ,6. Гусейнов Б.,Badavi Hüseynov,Badavi Hüseynov,0,SUCCESS,Done,Found in Curr Season,single
163,1437,567,"Euros 2016, Qualifiers",10.10.14,Italy vs Azerbaijan,2014,Azerbaijan,AZ,8. Гыртымов,Ilkin Qyrtymov,Ilkin Qyrtymov,0,SUCCESS,Done,Found in Curr Season,single
161,1433,567,"Euros 2016, Qualifiers",10.10.14,Italy vs Azerbaijan,2014,Azerbaijan,AZ,2. Караев,Karaev,Qara Qarayev,500000,SUCCESS,Done,Found in Curr Season,single
164,1439,567,"Euros 2016, Qualifiers",10.10.14,Italy vs Azerbaijan,2014,Azerbaijan,AZ,11. Алиев,Rauf Aliyev,Rauf Aliyev,200000,SUCCESS,Done,Found in Curr Season,single
98,1690,591,"Euros 2016, Qualifiers",13.10.15,Italy vs Norway,2015,Norway,NO,16. Алисами,Haitam Aleesami,Haitam Aleesami,750000,SUCCESS,Done,Found in Curr Season,single
144,1898,359,"Euros 2016, Qualifiers",13.10.14,Kazakhstan vs Czech,2014,Kazakhstan,KZ,Yuriy Logvinenko,F ,Yuriy Logvinenko,500000,SUCCESS,Done,Found in Curr Season,single
90,2076,378,"Euros 2016, Qualifiers",10.10.15,Kazakhstan vs Netherlands,2015,Kazakhstan,KZ,Yuriy Logvinenko,Yuriy Logvinenko,Yuriy Logvinenko,800000,SUCCESS,Done,Found in Curr Season,single
140,1836,825,"Euros 2020, Qualifiers",11.06.19,Kazakhstan vs San Marino,2019,San Marino,SM,6. Витайоли Ф.,F Vitaioli,Fabio Vitaioli,0,SUCCESS,Done,Only Before X,single
60,2102,380,"Euros 2016, Qualifiers",13.10.15,Latvia vs Kazakhstan,2015,Kazakhstan,KZ,Yuriy Logvinenko,E ,Yuriy Logvinenko,800000,SUCCESS,Done,Found in Curr Season,single
25,1930,361,"Euros 2016, Qualifiers",13.10.14,Latvia vs Turkey,2014,Latvia,LV,5. Вишняков А.,A  Vishnyakov,Aleksejs Visnakovs,200000,SUCCESS,Done,Found in Curr Season,single
26,1934,361,"Euros 2016, Qualifiers",13.10.14,Latvia vs Turkey,2014,Latvia,LV,11. Вишняков Э.,E Vishnyakov,Eduards Visnakovs,300000,SUCCESS,Done,Found in Curr Season,single
135,1174,536,"Euros 2016, Qualifiers",09.10.14,Liechtenstein vs Montenegro,2014,Montenegro,ME,23. Шимич,Marko Simic,Marko Simic,1800000,SUCCESS,Done,Found in Curr Season,single
134,1156,536,"Euros 2016, Qualifiers",09.10.14,Liechtenstein vs Montenegro,2014,Liechtenstein,LI,8. Визер,Vieser,Sandro Wieser,350000,SUCCESS,Done,Found in Curr Season,single
148,1309,554,"Euros 2016, Qualifiers",08.09.15,Liechtenstein vs Russia,2015,Liechtenstein,LI,9. Кибер,Niklas Kieber,Niklas Kieber,50000,SUCCESS,Done,Found in Curr Season,single
149,1350,557,"Euros 2016, Qualifiers",09.10.15,Liechtenstein vs Sweden,2015,Liechtenstein,LI,14. Эхри,Ehri,Yves Oehri,125000,SUCCESS,Done,Used Average of Season Before and After,single
31,819,501,"Euros 2016, Qualifiers",12.10.15,Lithuania vs England,2015,Lithuania,LT,10. Сливка,Vykintas Slivka,Vykintas Slivka,75000,SUCCESS,Done,Found in Curr Season,single
159,770,495,"Euros 2016, Qualifiers",08.09.15,Lithuania vs San Marino,2015,Lithuania,LT,16. Сливка,Vykintas Slivka,Vykintas Slivka,75000,SUCCESS,Done,Found in Curr Season,single
20,656,480,"Euros 2016, Qualifiers",12.10.14,Lithuania vs Slovenia,2014,Lithuania,LT,15. Хведукас,Karolis Chvedukas,Karolis Chvedukas,275000,SUCCESS,Done,Found in Curr Season,single
109,345,431,"Euros 2016, Qualifiers",05.09.15,Luxembourg vs North Macedonia,2015,Luxembourg,LU,13. Жоашим,Aurélien Joachim,Aurélien Joachim,600000,SUCCESS,Done,Found in Curr Season,single
112,354,431,"Euros 2016, Qualifiers",05.09.15,Luxembourg vs North Macedonia,2015,N. Macedonia,MK,17. Петрович,Milovan Petrovikj,Milovan Petrovikj,300000,SUCCESS,Done,Found in Curr Season,single
111,351,431,"Euros 2016, Qualifiers",05.09.15,Luxembourg vs North Macedonia,2015,N. Macedonia,MK,18. Жута,Leonard Zuta,Leonard Zuta,500000,SUCCESS,Done,Found in Curr Season,single
