,Unnamed: 0.1,Unnamed: 0,Match ID,Competition,Match,Date,Nationality,Team Country Code,Season,Status,Name,Market Value,Lookup Still Required?,Lookup Return Case,Impute Required?,Name(s) Found,ORIGINAL JERSEY,Match Case
439,71925,425,4319,"World Cup 2018, Qualifiers, CONMEBOL",Bolivia vs Ecuador,11-Oct-16,Bolivia,BO,2016,SUCCESS,"['Jorge Flores', 'Wálter Flores']",0.0,False,Large Dataset said 0,False,"['Jorge Flores', 'Wálter Flores']",Flores,multiple
440,72036,536,4324,"World Cup 2018, Qualifiers, CONMEBOL",Venezuela vs Bolivia,10-Nov-16,Venezuela,VE,2016,SUCCESS,"['Rómulo Otero', 'Javier Otero']",0.0,False,Large Dataset said 0,False,"['Rómulo Otero', 'Javier Otero']",Otero,multiple
441,72116,616,4328,"World Cup 2018, Qualifiers, CONMEBOL",Bolivia vs Paraguay,15-Nov-16,Bolivia,BO,2016,SUCCESS,"['Daniel Vaca', 'Joselito Vaca', 'Ramiro Vaca', 'Leonardo Vaca', 'Henry Vaca', 'Edward Vaca', 'Pablo Vaca']",0.0,False,Large Dataset said 0,False,"['Daniel Vaca', 'Joselito Vaca', 'Ramiro Vaca', 'Leonardo Vaca', 'Henry Vaca', 'Edward Vaca', 'Pablo Vaca']",Vaca,multiple
442,72122,622,4328,"World Cup 2018, Qualifiers, CONMEBOL",Bolivia vs Paraguay,15-Nov-16,Bolivia,BO,2016,SUCCESS,"['Jorge Flores', 'Wálter Flores']",0.0,False,Large Dataset said 0,False,"['Jorge Flores', 'Wálter Flores']",Flores,multiple
443,72245,745,4333,"World Cup 2018, Qualifiers, CONMEBOL",Colombia vs Bolivia,23-Mar-17,Bolivia,BO,2017,SUCCESS,"['Henry Justiniano', 'Leonel Justiniano', 'Guimer Justiniano']",0.0,False,Large Dataset said 0,False,"['Henry Justiniano', 'Leonel Justiniano', 'Guimer Justiniano']",Justiniano,multiple
444,72246,746,4333,"World Cup 2018, Qualifiers, CONMEBOL",Colombia vs Bolivia,23-Mar-17,Bolivia,BO,2017,SUCCESS,"['José Sagredo', 'Jesús Sagredo']",0.0,False,Large Dataset said 0,False,"['José Sagredo', 'Jesús Sagredo']",Sagredo,multiple
445,72530,1030,4346,"World Cup 2018, Qualifiers, CONMEBOL",Peru vs Bolivia,31-Aug-17,Bolivia,BO,2017,SUCCESS,"['José Sagredo', 'Jesús Sagredo']",0.0,False,Large Dataset said 0,False,"['José Sagredo', 'Jesús Sagredo']",Sagredo,multiple
446,74863,63,2631,"World Cup Qualifiers, Asia, 2022",Hong Kong vs Cambodia,19-11-2019,Cambodia,KH,2019,SUCCESS,"['Souhana Sos', 'Sok Sovan']",0.0,False,Large Dataset said 0,False,"['Souhana Sos', 'Sok Sovan']",Sos Suhana,multiple
447,75139,339,2644,"World Cup Qualifiers, Asia, 2022",Jordan vs Chinese Taipei,19-11-2019,Jordan,JO,2019,SUCCESS,"['Ahmed Hisham', 'Ahmed Ersan']",0.0,False,Large Dataset said 0,False,"['Ahmed Hisham', 'Ahmed Ersan']",Ahmed Hamdouni,multiple
448,75238,438,2648,"World Cup Qualifiers, Asia, 2022",South Korea vs Sri Lanka,10-10-2019,Sri Lanka,LK,2019,SUCCESS,"['Dilan De Silva', 'Dillon De Silva']",0.0,False,Large Dataset said 0,False,"['Dilan De Silva', 'Dillon De Silva']",D De Silva,multiple
449,75448,648,2658,"World Cup Qualifiers, Asia, 2022",Myanmar vs Tajikistan,14-11-2019,Myanmar,MM,2019,SUCCESS,"['Sithu Aung', 'Than Htet Aung', 'Thiha Htet Aung']",0.0,False,Large Dataset said 0,False,"['Sithu Aung', 'Than Htet Aung', 'Thiha Htet Aung']",Thu Aung,multiple
450,75576,776,2664,"World Cup Qualifiers, Asia, 2022",Jordan vs Nepal,15-10-2019,Jordan,JO,2019,SUCCESS,"['Ahmed Hisham', 'Ahmed Ersan']",0.0,False,Large Dataset said 0,False,"['Ahmed Hisham', 'Ahmed Ersan']",Ahmed Hamdouni,multiple
451,75668,868,2668,"World Cup Qualifiers, Asia, 2022",Myanmar vs Mongolia,19-11-2019,Myanmar,MM,2019,SUCCESS,"['Sithu Aung', 'Than Htet Aung', 'Thiha Htet Aung']",0.0,False,Large Dataset said 0,False,"['Sithu Aung', 'Than Htet Aung', 'Thiha Htet Aung']",Thu Aung,multiple
452,75720,920,2670,"World Cup Qualifiers, Asia, 2022",Pakistan vs Cambodia,11-06-2019,Cambodia,KH,2019,SUCCESS,"['Souhana Sos', 'Sok Sovan']",0.0,False,Large Dataset said 0,False,"['Souhana Sos', 'Sok Sovan']",Sos Suhana,multiple
