,Unnamed: 0,Match ID,Competition,Match,Date,Nationality,Team Country Code,Season,Status,Name,Market Value,Lookup Still Required?,Lookup Return Case,Impute Required?,Name(s) Found,ORIGINAL JERSEY,Match Case,Status II,Status III
45103,3,4350,"World Cup 2018, Qualifiers, CONMEBOL",Ecuador vs Peru,05-Sep-17,Ecuador,EC,2017,FAIL,0,0,True,Lookup Required,False,0,Cáceda,none,,
45104,4,4350,"World Cup 2018, Qualifiers, CONMEBOL",Ecuador vs Peru,05-Sep-17,Ecuador,EC,2017,FAIL,0,0,True,Lookup Required,False,0,Corzo,none,,
45105,5,4350,"World Cup 2018, Qualifiers, CONMEBOL",Ecuador vs Peru,05-Sep-17,Ecuador,EC,2017,FAIL,0,0,True,Lookup Required,False,0,Ramos,none,,
45107,7,4350,"World Cup 2018, Qualifiers, CONMEBOL",Ecuador vs Peru,05-Sep-17,Ecuador,EC,2017,FAIL,0,0,True,Lookup Required,False,0,Trauco,none,,
45108,8,4350,"World Cup 2018, Qualifiers, CONMEBOL",Ecuador vs Peru,05-Sep-17,Ecuador,EC,2017,FAIL,0,0,True,Lookup Required,False,0,Tapia,none,,
45109,9,4350,"World Cup 2018, Qualifiers, CONMEBOL",Ecuador vs Peru,05-Sep-17,Ecuador,EC,2017,FAIL,0,0,True,Lookup Required,False,0,Carrillo,none,,
45111,11,4350,"World Cup 2018, Qualifiers, CONMEBOL",Ecuador vs Peru,05-Sep-17,Peru,PE,2017,FAIL,0,0,True,Lookup Required,False,0,Domínguez,none,,
45112,12,4350,"World Cup 2018, Qualifiers, CONMEBOL",Ecuador vs Peru,05-Sep-17,Peru,PE,2017,FAIL,0,0,True,Lookup Required,False,0,Velasco,none,,
45113,13,4350,"World Cup 2018, Qualifiers, CONMEBOL",Ecuador vs Peru,05-Sep-17,Peru,PE,2017,FAIL,0,0,True,Lookup Required,False,0,Achilier,none,,
45114,14,4350,"World Cup 2018, Qualifiers, CONMEBOL",Ecuador vs Peru,05-Sep-17,Peru,PE,2017,FAIL,0,0,True,Lookup Required,False,0,Arboleda,none,,
45116,16,4350,"World Cup 2018, Qualifiers, CONMEBOL",Ecuador vs Peru,05-Sep-17,Peru,PE,2017,FAIL,0,0,True,Lookup Required,False,0,Orejuela,none,,
45117,17,4350,"World Cup 2018, Qualifiers, CONMEBOL",Ecuador vs Peru,05-Sep-17,Peru,PE,2017,FAIL,0,0,True,Lookup Required,False,0,Noboa,none,,
45118,18,4350,"World Cup 2018, Qualifiers, CONMEBOL",Ecuador vs Peru,05-Sep-17,Peru,PE,2017,FAIL,0,0,True,Lookup Required,False,0,Valencia,none,,
45119,19,4350,"World Cup 2018, Qualifiers, CONMEBOL",Ecuador vs Peru,05-Sep-17,Peru,PE,2017,FAIL,0,0,True,Lookup Required,False,0,Cazares,none,,
45120,20,4350,"World Cup 2018, Qualifiers, CONMEBOL",Ecuador vs Peru,05-Sep-17,Peru,PE,2017,FAIL,0,0,True,Lookup Required,False,0,Valencia,none,,
45121,21,4350,"World Cup 2018, Qualifiers, CONMEBOL",Ecuador vs Peru,05-Sep-17,Peru,PE,2017,FAIL,0,0,True,Lookup Required,False,0,Caicedo,none,,
45125,25,4351,"World Cup 2018, Qualifiers, CONMEBOL",Paraguay vs Uruguay,05-Sep-17,Paraguay,PY,2017,FAIL,0,0,True,Lookup Required,False,0,Muslera,none,,
45128,28,4351,"World Cup 2018, Qualifiers, CONMEBOL",Paraguay vs Uruguay,05-Sep-17,Paraguay,PY,2017,FAIL,0,0,True,Lookup Required,False,0,Godín,none,,
45130,30,4351,"World Cup 2018, Qualifiers, CONMEBOL",Paraguay vs Uruguay,05-Sep-17,Paraguay,PY,2017,FAIL,0,0,True,Lookup Required,False,0,Nández,none,,
45131,31,4351,"World Cup 2018, Qualifiers, CONMEBOL",Paraguay vs Uruguay,05-Sep-17,Paraguay,PY,2017,FAIL,0,0,True,Lookup Required,False,0,Vecino,none,,
45132,32,4351,"World Cup 2018, Qualifiers, CONMEBOL",Paraguay vs Uruguay,05-Sep-17,Paraguay,PY,2017,FAIL,0,0,True,Lookup Required,False,0,Valverde,none,,
45134,34,4351,"World Cup 2018, Qualifiers, CONMEBOL",Paraguay vs Uruguay,05-Sep-17,Uruguay,UY,2017,FAIL,0,0,True,Lookup Required,False,0,Moreira,none,,
45137,37,4351,"World Cup 2018, Qualifiers, CONMEBOL",Paraguay vs Uruguay,05-Sep-17,Uruguay,UY,2017,FAIL,0,0,True,Lookup Required,False,0,J lonso,none,,
45139,39,4351,"World Cup 2018, Qualifiers, CONMEBOL",Paraguay vs Uruguay,05-Sep-17,Uruguay,UY,2017,FAIL,0,0,True,Lookup Required,False,0,Riveros,none,,
