,Unnamed: 0.1,Unnamed: 0,DF index,Match ID,Competition,Date,Match,Season,Nationality,Country Code,ORIGINAL JERSEY,English Name,Match(es) Found,Status
1961,1961,17,1717,595,"Euros 2016, Qualifiers",11.10.14,Armenia vs Serbia,2014,Serbia,RS,7. Тошич,Tosic,"['Dusko Tosic', 'Zoran Tosic']",Success
1964,1964,20,1720,595,"Euros 2016, Qualifiers",11.10.14,Armenia vs Serbia,2014,Serbia,RS,14. Матич,Matic,"['Nemanja Matic', 'Uros Matic']",Success
1987,1987,43,1743,596,"Euros 2016, Qualifiers",11.10.14,Albania vs Denmark,2014,Denmark,DK,23. Хейбьерг,Højbjerg,"['Pierre-Emile Højbjerg', 'Jeppe Højbjerg']",Success
1988,1988,44,1744,596,"Euros 2016, Qualifiers",11.10.14,Albania vs Denmark,2014,Denmark,DK,19. Поульсен,Poulsen,"['Jakob Poulsen', 'Simon Poulsen', 'Yussuf Poulsen']",Success
1993,1993,49,1749,597,"Euros 2016, Qualifiers",14.10.14,Denmark vs Portugal,2014,Denmark,DK,6. Якобсен,Jacobsen,"['Lars Jacobsen', 'Christopher Jacobsen']",Success
1999,1999,55,1755,597,"Euros 2016, Qualifiers",14.10.14,Denmark vs Portugal,2014,Denmark,DK,23. Хейбьерг,Højbjerg,"['Pierre-Emile Højbjerg', 'Jeppe Højbjerg']",Success
2012,2012,68,1768,602,"Euros 2016, Qualifiers",29.03.15,Portugal vs Serbia,2015,Serbia,RS,1. Стойкович,Stojkovic,"['Vladimir Stojkovic', 'Arandjel Stojkovic']",Success
2014,2014,70,1770,602,"Euros 2016, Qualifiers",29.03.15,Portugal vs Serbia,2015,Serbia,RS,6. Иванович,"['Djordje Ivanovic', 'Branislav Ivanovic']","['Djordje Ivanovic', 'Branislav Ivanovic']",Success
2015,2015,71,1771,602,"Euros 2016, Qualifiers",29.03.15,Portugal vs Serbia,2015,Serbia,RS,8. Петрович,"['Nemanja Petrovic', 'Radosav Petrovic']","['Nemanja Petrovic', 'Radosav Petrovic']",Success
2019,2019,75,1775,602,"Euros 2016, Qualifiers",29.03.15,Portugal vs Serbia,2015,Serbia,RS,14. Матич,Matic,"['Nemanja Matic', 'Uros Matic']",Success
2024,2024,80,1780,1517,Nations League 2018-2020,11.10.18,Kosovo vs Malta,2018,Malta,MT,9. Мифсуд,Mifsud,"['Michael Mifsud', 'Jean Pierre Mifsud Triganza']",Success
2035,2035,91,1791,1521,Nations League 2018-2020,17.11.18,Malta vs Kosovo,2018,Malta,MT,21. Бриффа,Briffa,"['Roderick Briffa', 'Emanuel Briffa']",Success
2037,2037,93,1793,1523,Nations League 2018-2020,20.11.18,Malta vs Faroe Islands,2018,Malta,MT,9. Мифсуд,Mifsud,"['Michael Mifsud', 'Jean Pierre Mifsud Triganza']",Success
2046,2046,2,302,425,"Euros 2016, Qualifiers",27.03.15,North Macedonia vs Belarus,2015,N. Macedonia,MK,2. Гиоргиевски,Georgievski,"['Daniel Georgievski', 'Slavco Georgievski']",Success
2082,2082,38,338,431,"Euros 2016, Qualifiers",05.09.15,Luxembourg vs North Macedonia,2015,Luxembourg,LU,4. Делгаду,Delgado,"['Ricardo Delgado', 'Gilson Delgado']",Success
2085,2085,41,341,431,"Euros 2016, Qualifiers",05.09.15,Luxembourg vs North Macedonia,2015,Luxembourg,LU,7. Жерсон,Gerson,"['Lars Gerson', 'Gerson Rodrigues']",Success
2086,2086,42,342,431,"Euros 2016, Qualifiers",05.09.15,Luxembourg vs North Macedonia,2015,Luxembourg,LU,8. Мартинс,Martins,"['Marvin Martins', 'Christopher Martins Pereira']",Success
2094,2094,50,350,431,"Euros 2016, Qualifiers",05.09.15,Luxembourg vs North Macedonia,2015,N. Macedonia,MK,13. Ристовски,Ristowski,"['Stefan Ristovski', 'Milan Ristovski']",Success
2096,2096,52,352,431,"Euros 2016, Qualifiers",05.09.15,Luxembourg vs North Macedonia,2015,N. Macedonia,MK,10. Ибраими,Ibraimi,"['Agim Ibraimi', 'Besart Ibraimi']",Success
2097,2097,53,353,431,"Euros 2016, Qualifiers",05.09.15,Luxembourg vs North Macedonia,2015,N. Macedonia,MK,16. Глигоров,Gligorov,"['Nikola Gligorov', 'Gligor Gligorov']",Success
2101,2101,57,357,431,"Euros 2016, Qualifiers",05.09.15,Luxembourg vs North Macedonia,2015,N. Macedonia,MK,21. Ивановски,Ivanovsky,"['Daniel Ivanovski', 'Mirko Ivanovski', 'Filip Ivanovski']",Success
2126,2126,82,382,435,"Euros 2016, Qualifiers",08.09.15,North Macedonia vs Spain,2015,N. Macedonia,MK,16.  Глигоров,Gligorov,"['Nikola Gligorov', 'Gligor Gligorov']",Success
2130,2130,86,386,436,"Euros 2016, Qualifiers",08.09.15,Slovakia vs Ukraine,2015,Slovakia,SK,uriš,uriš,"['David Duris', 'Michal Duris']",Success
2138,2138,94,394,437,"Euros 2016, Qualifiers",09.10.15,North Macedonia vs Ukraine,2015,N. Macedonia,MK,8. Алими,Alimi,"['Armend Alimi', 'Isnik Alimi']",Success
2158,2158,14,1114,530,"Euros 2016, Qualifiers",11.10.15,Faroe Islands vs Romania,2015,Faroe Islands,FO,14. Ванхамар,Vanhamar,"['Sölvi Vatnhamar', 'Gunnar Vatnhamar']",Success
2168,2168,24,1124,531,"Euros 2016, Qualifiers",11.10.15,Finland vs Northern Ireland,2015,Finland,FI,7. Ояла,Ojala,"['Juhani Ojala', 'Mika Ojala']",Success
2190,2190,46,1146,533,"Euros 2016, Qualifiers",08.09.14,Russia vs Liechtenstein,2014,Liechtenstein,LI,10. Фрик,Frick,"['Mario Frick', 'Yanik Frick', 'Noah Frick']",Success
2201,2201,57,1157,536,"Euros 2016, Qualifiers",09.10.14,Liechtenstein vs Montenegro,2014,Liechtenstein,LI,10. Фрик,Frick,"['Mario Frick', 'Yanik Frick', 'Noah Frick']",Success
2203,2203,59,1159,536,"Euros 2016, Qualifiers",09.10.14,Liechtenstein vs Montenegro,2014,Liechtenstein,LI,13. Бюхель,Büchel,"['Benjamin Büchel', 'Martin Büchel', 'Marcel Büchel']",Success
2205,2205,61,1161,536,"Euros 2016, Qualifiers",09.10.14,Liechtenstein vs Montenegro,2014,Liechtenstein,LI,18. Хаслер,Hasler,"['Nicolas Hasler', 'David Hasler', 'Julien Hasler']",Success
2212,2212,68,1168,536,"Euros 2016, Qualifiers",09.10.14,Liechtenstein vs Montenegro,2014,Montenegro,ME,7. Вукчевич,Vukcevic,"['Nikola Vukcevic', 'Marko Vukcevic', 'Simon Vukcevic', 'Andrija Vukcevic']",Success
2268,2268,24,1824,3906,"World Cup 2014, Qualifiers, CONCACAF",12-Jun-12,Guatemala vs USA,2012,Guatemala,GT,Ruíz,Ruíz,"['Lester Ruiz', 'Andy Ruiz', 'Kevin Ruiz', 'Diego Ruiz', 'Luis Fernando Ruiz', 'Carlos Ruiz', 'Léster Ruiz']",Success
2269,2269,25,1825,3929,"World Cup 2014, Qualifiers, CONCACAF",16-Oct-12,USA vs Guatemala,2012,Guatemala,GT,Ruíz,Ruíz,"['Lester Ruiz', 'Andy Ruiz', 'Kevin Ruiz', 'Diego Ruiz', 'Luis Fernando Ruiz', 'Carlos Ruiz', 'Léster Ruiz']",Success
2274,2274,30,1830,820,"Euros 2020, Qualifiers",24.03.19,San Marino vs Scotland,2019,Scotland,SC,7. Рассел,Russell,"['Russell Martin', 'Johnny Russell']",Success
2281,2281,37,1837,826,"Euros 2020, Qualifiers",11.06.19,Belgium vs Scotland,2019,Scotland,SC,17. Рассел,Russell,"['Russell Martin', 'Johnny Russell']",Success
2298,2298,54,1854,852,"Euros 2020, Qualifiers",08.06.19,Finland vs Bosnia-Herzegovina,2019,Bosnia,BA,Sarić,Sarić,"['Dario Saric', 'Elvis Saric']",Success
