,Unnamed: 0.1,Unnamed: 0,DF index,Match ID,Competition,Date,Match,Season,Nationality,Country Code,ORIGINAL JERSEY,English Name,Match(es) Found,Status
816,816,16,916,508,"Euros 2016, Qualifiers",11.10.14,Northern Ireland vs Faroe Islands,2014,Faroe Islands,FO,7. Беньяминсен,Benjaminsen,"['Fródi Benjaminsen', 'Jann Benjaminsen']",Success
819,819,19,919,508,"Euros 2016, Qualifiers",11.10.14,Northern Ireland vs Faroe Islands,2014,Faroe Islands,FO,16. Эдмундсон,Edmundson,"['Jóan Símun Edmundsson', 'Andrias Edmundsson']",Success
820,820,20,920,509,"Euros 2016, Qualifiers",14.10.14,Faroe Islands vs Hungary,2014,Faroe Islands,FO,1. Нильсен,Nielsen,"['Gunnar Nielsen', 'Eli Nielsen']",Success
822,822,22,922,509,"Euros 2016, Qualifiers",14.10.14,Faroe Islands vs Hungary,2014,Faroe Islands,FO,3. Давидсен,Davidsen,"['Viljormur Davidsen', 'Jóhan Troest Davidsen', 'Jógvan Davidsen']",Success
826,826,26,926,509,"Euros 2016, Qualifiers",14.10.14,Faroe Islands vs Hungary,2014,Faroe Islands,FO,7. Беньяминсен,Benjaminsen,"['Fródi Benjaminsen', 'Jann Benjaminsen']",Success
828,828,28,928,509,"Euros 2016, Qualifiers",14.10.14,Faroe Islands vs Hungary,2014,Faroe Islands,FO,16. Эдмундсон,Edmundson,"['Jóan Símun Edmundsson', 'Andrias Edmundsson']",Success
829,829,29,929,509,"Euros 2016, Qualifiers",14.10.14,Faroe Islands vs Hungary,2014,Faroe Islands,FO,17. Ванхамар,Vanhamar,"['Sölvi Vatnhamar', 'Gunnar Vatnhamar']",Success
830,830,30,930,509,"Euros 2016, Qualifiers",14.10.14,Faroe Islands vs Hungary,2014,Faroe Islands,FO,18. Ольсен,Olsen,"['Klaemint Olsen', 'Andreas Lava Olsen', 'Meinhard Olsen']",Success
836,836,36,936,509,"Euros 2016, Qualifiers",14.10.14,Faroe Islands vs Hungary,2014,Hungary,HU,8. Варга,Varga,"['József Varga', 'Roland Varga', 'Kevin Varga', 'Barnabás Varga']",Success
842,842,42,942,510,"Euros 2016, Qualifiers",14.10.14,Finland vs Romania,2014,Finland,FI,1. Мяэнпяя,Mäenpää,"['Niki Mäenpää', 'Niilo Mäenpää']",Success
843,843,43,943,510,"Euros 2016, Qualifiers",14.10.14,Finland vs Romania,2014,Finland,FI,3. Мойсандер,Moisander,"['Niklas Moisander', 'Henrik Moisander']",Success
846,846,46,946,510,"Euros 2016, Qualifiers",14.10.14,Finland vs Romania,2014,Finland,FI,8. Хетемай,Hetemai,"['Mehmet Hetemaj', 'Perparim Hetemaj']",Success
851,851,51,951,510,"Euros 2016, Qualifiers",14.10.14,Finland vs Romania,2014,Finland,FI,21. Хямяляйнен,Hämäläinen,"['Kasper Hämäläinen', 'Niko Hämäläinen']",Success
860,860,60,960,510,"Euros 2016, Qualifiers",14.10.14,Finland vs Romania,2014,Romania,RO,10. Тэнасе,Tanase,"['Florin Tănase', 'Cristian Tănase']",Success
876,876,76,976,511,"Euros 2016, Qualifiers",14.10.14,Greece vs Northern Ireland,2014,North. Ireland, NI,2. Маклафлин,Mc Laughlin,"['Conor McLaughlin', 'Ryan McLaughlin']",Success
880,880,80,980,511,"Euros 2016, Qualifiers",14.10.14,Greece vs Northern Ireland,2014,North. Ireland, NI,10. Лафферти,Lafferty,"['Danny Lafferty', 'Kyle Lafferty']",Success
882,882,82,982,511,"Euros 2016, Qualifiers",14.10.14,Greece vs Northern Ireland,2014,North. Ireland, NI,13. Эванс,Evans,"['Jonny Evans', 'Corry Evans']",Success
884,884,84,984,511,"Euros 2016, Qualifiers",14.10.14,Greece vs Northern Ireland,2014,North. Ireland, NI,18. Хьюз,Hughes,"['Aaron Hughes', 'Liam Hughes']",Success
886,886,86,986,521,"Euros 2016, Qualifiers",04.09.15,Faroe Islands vs Northern Ireland,2015,Faroe Islands,FO,1. Нильсен,Nielsen,"['Gunnar Nielsen', 'Eli Nielsen']",Success
890,890,90,990,521,"Euros 2016, Qualifiers",04.09.15,Faroe Islands vs Northern Ireland,2015,Faroe Islands,FO,7. Беньяминсен,Benjaminsen,"['Fródi Benjaminsen', 'Jann Benjaminsen']",Success
894,894,94,994,521,"Euros 2016, Qualifiers",04.09.15,Faroe Islands vs Northern Ireland,2015,Faroe Islands,FO,11. Эдмундсон,Edmundson,"['Jóan Símun Edmundsson', 'Andrias Edmundsson']",Success
895,895,95,995,521,"Euros 2016, Qualifiers",04.09.15,Faroe Islands vs Northern Ireland,2015,Faroe Islands,FO,14. Ванхамар,Vanhamar,"['Sölvi Vatnhamar', 'Gunnar Vatnhamar']",Success
898,898,98,998,521,"Euros 2016, Qualifiers",04.09.15,Faroe Islands vs Northern Ireland,2015,North. Ireland, NI,2. Маклафлин,Mc Laughlin,"['Conor McLaughlin', 'Ryan McLaughlin']",Success
900,900,0,0,4222,"World Cup 2014, Qualifiers, CONMEBOL",10-Jun-12,Uruguay vs Peru,2012,Peru,PE,Gonzáles,Gonzáles,"['Christofer Gonzales', 'Jairsinho Gonzales']",Success
901,901,1,1,4011,"World Cup 2018, Qualifiers, CONCACAF",13-Nov-15,Guatemala vs Trinidad and Tobago,2015,Guatemala,GT,Ruíz,Ruíz,"['Lester Ruiz', 'Andy Ruiz', 'Kevin Ruiz', 'Diego Ruiz', 'Luis Fernando Ruiz', 'Carlos Ruiz', 'Léster Ruiz']",Success
902,902,2,2,4017,"World Cup 2018, Qualifiers, CONCACAF",17-Nov-15,Saint Vincent and the Grenadines vs Guatemala,2015,Guatemala,GT,Ruíz,Ruíz,"['Lester Ruiz', 'Andy Ruiz', 'Kevin Ruiz', 'Diego Ruiz', 'Luis Fernando Ruiz', 'Carlos Ruiz', 'Léster Ruiz']",Success
903,903,3,3,4027,"World Cup 2018, Qualifiers, CONCACAF",25-Mar-16,Guatemala vs USA,2016,Guatemala,GT,Ruíz,Ruíz,"['Lester Ruiz', 'Andy Ruiz', 'Kevin Ruiz', 'Diego Ruiz', 'Luis Fernando Ruiz', 'Carlos Ruiz', 'Léster Ruiz']",Success
904,904,4,4,4037,"World Cup 2018, Qualifiers, CONCACAF",02-Sep-16,Trinidad and Tobago vs Guatemala,2016,Guatemala,GT,Ruíz,Ruíz,"['Lester Ruiz', 'Andy Ruiz', 'Kevin Ruiz', 'Diego Ruiz', 'Luis Fernando Ruiz', 'Carlos Ruiz', 'Léster Ruiz']",Success
905,905,5,5,4040,"World Cup 2018, Qualifiers, CONCACAF",06-Sep-16,Guatemala vs Saint Vincent and the Grenadines,2016,Guatemala,GT,Ruíz,Ruíz,"['Lester Ruiz', 'Andy Ruiz', 'Kevin Ruiz', 'Diego Ruiz', 'Luis Fernando Ruiz', 'Carlos Ruiz', 'Léster Ruiz']",Success
908,908,8,8,1237,Copa America 2015,22.06.15,Brazil vs Venezuela,2015,Venezuela,VE,3. Туньес,Tunez,"['Andres Tunez', 'Andres Tuñez']",Success
912,912,12,12,1237,Copa America 2015,22.06.15,Brazil vs Venezuela,2015,Venezuela,VE,10. Варгас,Vargas,"['Luis Vargas', 'Ronald Vargas', 'Jefre Vargas', 'Freddy Vargas']",Success
949,949,49,49,605,"Euros 2016, Qualifiers",04.09.15,Denmark vs Albania,2015,Denmark,DK,6. Якобсен,Jacobsen,"['Lars Jacobsen', 'Christopher Jacobsen']",Success
955,955,55,55,605,"Euros 2016, Qualifiers",04.09.15,Denmark vs Albania,2015,Denmark,DK,23. Хейбьерг,Højbjerg,"['Pierre-Emile Højbjerg', 'Jeppe Højbjerg']",Success
967,967,67,67,606,"Euros 2016, Qualifiers",04.09.15,Serbia vs Armenia,2015,Serbia,RS,1. Стойкович,Stojkovic,"['Vladimir Stojkovic', 'Arandjel Stojkovic']",Success
969,969,69,69,606,"Euros 2016, Qualifiers",04.09.15,Serbia vs Armenia,2015,Serbia,RS,6. Иванович,"['Djordje Ivanovic', 'Branislav Ivanovic']","['Djordje Ivanovic', 'Branislav Ivanovic']",Success
970,970,70,70,606,"Euros 2016, Qualifiers",04.09.15,Serbia vs Armenia,2015,Serbia,RS,9. Митрович,Mitrović,"['Stefan Mitrovic', 'Aleksandar Mitrovic']",Success
973,973,73,73,606,"Euros 2016, Qualifiers",04.09.15,Serbia vs Armenia,2015,Serbia,RS,14. Матич,Matic,"['Nemanja Matic', 'Uros Matic']",Success
984,984,84,84,607,"Euros 2016, Qualifiers",07.09.15,Armenia vs Denmark,2015,Armenia,AM,6. Мкртчян,Mkrtchyan,"['Karlen Mkrtchyan', 'Styopa Mkrtchyan', 'Rudik Mkrtchyan', 'Sergey Mkrtchyan']",Success
986,986,86,86,607,"Euros 2016, Qualifiers",07.09.15,Armenia vs Denmark,2015,Armenia,AM,10. Казарян,Ghazaryan,"['Gevorg Ghazaryan', 'Arman Ghazaryan']",Success
995,995,95,95,607,"Euros 2016, Qualifiers",07.09.15,Armenia vs Denmark,2015,Denmark,DK,6. Якобсен,Jacobsen,"['Lars Jacobsen', 'Christopher Jacobsen']",Success
998,998,98,98,607,"Euros 2016, Qualifiers",07.09.15,Armenia vs Denmark,2015,Denmark,DK,18. Поульсен,Poulsen,"['Jakob Poulsen', 'Simon Poulsen', 'Yussuf Poulsen']",Success
1000,1000,0,1000,521,"Euros 2016, Qualifiers",04.09.15,Faroe Islands vs Northern Ireland,2015,North. Ireland, NI,5. Эванс,Evans,"['Jonny Evans', 'Corry Evans']",Success
1004,1004,4,1004,521,"Euros 2016, Qualifiers",04.09.15,Faroe Islands vs Northern Ireland,2015,North. Ireland, NI,10. Лафферти,Lafferty,"['Danny Lafferty', 'Kyle Lafferty']",Success
1014,1014,14,1014,522,"Euros 2016, Qualifiers",04.09.15,Greece vs Finland,2015,Greece,GR,14. Пападопулос,Papadopoulos,"['Avraam Papadopoulos', 'Dimitrios Papadopoulos', 'Kyriakos Papadopoulos']",Success
1022,1022,22,1022,522,"Euros 2016, Qualifiers",04.09.15,Greece vs Finland,2015,Finland,FI,8. Хетемай,Hetemai,"['Mehmet Hetemaj', 'Perparim Hetemaj']",Success
1029,1029,29,1029,522,"Euros 2016, Qualifiers",04.09.15,Greece vs Finland,2015,Finland,FI,21. Хямяляйнен,Hämäläinen,"['Kasper Hämäläinen', 'Niko Hämäläinen']",Success
1051,1051,51,1051,523,"Euros 2016, Qualifiers",04.09.15,Hungary vs Romania,2015,Romania,RO,22. Попа,Popa,"['Adrian Popa', 'Mihai Popa']",Success
1055,1055,55,1055,524,"Euros 2016, Qualifiers",07.09.15,Finland vs Faroe Islands,2015,Finland,FI,17. Лам,Lam,"['Veli Lampi', 'Thomas Lam']",Success
1059,1059,59,1059,524,"Euros 2016, Qualifiers",07.09.15,Finland vs Faroe Islands,2015,Finland,FI,11. Риски,Risks,"['Roope Riski', 'Riku Riski']",Success
1061,1061,61,1061,524,"Euros 2016, Qualifiers",07.09.15,Finland vs Faroe Islands,2015,Faroe Islands,FO,1. Нильсен,Nielsen,"['Gunnar Nielsen', 'Eli Nielsen']",Success
1064,1064,64,1064,524,"Euros 2016, Qualifiers",07.09.15,Finland vs Faroe Islands,2015,Faroe Islands,FO,7. Беньяминсен,Benjaminsen,"['Fródi Benjaminsen', 'Jann Benjaminsen']",Success
1070,1070,70,1070,525,"Euros 2016, Qualifiers",07.09.15,Northern Ireland vs Hungary,2015,North. Ireland, NI,2. Маклафлин,Mc Laughlin,"['Conor McLaughlin', 'Ryan McLaughlin']",Success
1090,1090,90,1090,527,"Euros 2016, Qualifiers",08.10.15,Hungary vs Faroe Islands,2015,Faroe Islands,FO,3. Давидсен,Davidsen,"['Viljormur Davidsen', 'Jóhan Troest Davidsen', 'Jógvan Davidsen']",Success
1093,1093,93,1093,527,"Euros 2016, Qualifiers",08.10.15,Hungary vs Faroe Islands,2015,Faroe Islands,FO,14. Ванхамар,Vanhamar,"['Sölvi Vatnhamar', 'Gunnar Vatnhamar']",Success
1095,1095,95,1095,527,"Euros 2016, Qualifiers",08.10.15,Hungary vs Faroe Islands,2015,Faroe Islands,FO,20. Якобсен,Jacobsen,"['Erling Jacobsen', 'Hanus Jacobsen', 'Magnus Jacobsen']",Success
1096,1096,96,1096,527,"Euros 2016, Qualifiers",08.10.15,Hungary vs Faroe Islands,2015,Faroe Islands,FO,21. Йоэнсен,Joensen,"['Kristian Joensen', 'René Joensen']",Success
1110,1110,10,2710,219,World Cup 2014,22.06.14,South Korea vs Algeria,2014,Algeria,DZ,2. Бугерра,Boogerra,"['Madjid Bougherra', 'Aimen Bouguerra']",Success
1147,1147,47,2747,263,World Cup 2018,17.06.18,Costa Rica vs Serbia,2018,Serbia,RS,1. Стойкович,Stojkovic,"['Vladimir Stojkovic', 'Arandjel Stojkovic']",Success
1150,1150,50,2750,266,World Cup 2018,22.06.18,Serbia vs Switzerland,2018,Serbia,RS,1. Стойкович,Stojkovic,"['Vladimir Stojkovic', 'Arandjel Stojkovic']",Success
1151,1151,51,2751,267,World Cup 2018,27.06.18,Serbia vs Brazil,2018,Serbia,RS,1. Стойкович,Stojkovic,"['Vladimir Stojkovic', 'Arandjel Stojkovic']",Success
1154,1154,54,2754,276,World Cup 2018,18.06.18,Tunisia vs England,2018,Tunisia,TN,12. Маалул,Maalul,"['Ali Maâloul', 'Mohamed Hedi Gaaloul']",Success
1156,1156,56,2756,277,World Cup 2018,23.06.18,Belgium vs Tunisia,2018,Tunisia,TN,12. Маалул,Maalul,"['Ali Maâloul', 'Mohamed Hedi Gaaloul']",Success
1190,1190,90,2790,1480,Nations League 2018-2020,11.10.18,Lithuania vs Romania,2018,Romania,RO,4. Тамаш,Tamás,"['Gabriel Tamas', 'Gabriel Tamaș']",Success
1206,1206,6,2106,382,"Euros 2016, Qualifiers",13.10.15,Turkey vs Iceland,2015,Turkey,TR,23. Волкан,Volkan,"['Volkan Demirel', 'Volkan Babacan', 'Volkan Şen']",Success
1211,1211,11,2111,385,"Euros 2016, Qualifiers",10.10.14,Belgium vs Andorra,2014,Andorra,AD,5. Гарсия,Garcia,"['Emili Garcia', 'Marc García', 'Christian Garcia']",Success
1214,1214,14,2114,385,"Euros 2016, Qualifiers",10.10.14,Belgium vs Andorra,2014,Andorra,AD,3. Валес,Vales,"['Marc Vales', 'Eric Vales']",Success
1230,1230,30,2130,386,"Euros 2016, Qualifiers",10.10.14,Cyprus vs Israel,2014,Cyprus,CY,23. Николау,Nikolaou,"['Marios Nikolaou', 'Thomas Nikolaou']",Success
