,Unnamed: 0,Match ID,Competition,Match,Date,Nationality,Team Country Code,Season,Status,Name,Market Value,Lookup Still Required?,Lookup Return Case,Impute Required?,Name(s) Found,ORIGINAL JERSEY,Match Case,Status New
10,74,2751,"World Cup Qualifiers, Asia, 2026",Myanmar vs Macao,12-10-2023,Macao,MF,2023,FAIL,"['Man Chan', 'Pak-Chun Chan', 'Ka-Chon Chang']",0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Must Chao Pak Kei,Pang Chi-Hang,multiple,Done
11,75,2751,"World Cup Qualifiers, Asia, 2026",Myanmar vs Macao,12-10-2023,Macao,MF,2023,FAIL,"['Cheng-Fai Sam', 'Chi-Fong Ho']",0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Hoi San Cheong,Cheong Hoi San,multiple,Done
12,76,2751,"World Cup Qualifiers, Asia, 2026",Myanmar vs Macao,12-10-2023,Macao,MF,2023,FAIL,"['Chi-Kin Lei', 'Cheng-Lam Lei']",0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Cheng Lam Lei,C Lei,multiple,Done
13,77,2751,"World Cup Qualifiers, Asia, 2026",Myanmar vs Macao,12-10-2023,Macao,MF,2023,FAIL,"['Ka-Seng Lam', 'Ka-Pou Lam']",0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Ka Seng Lam,Ka Seng Lam,multiple,Done
14,79,2755,"World Cup Qualifiers, Asia, 2026",Macao vs Myanmar,17-10-2023,Macao,MF,2023,FAIL,"['Ka-Seng Lam', 'Ka-Pou Lam']",0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Ka Seng Lam,Ka Seng Lam,multiple,Done
15,80,2755,"World Cup Qualifiers, Asia, 2026",Macao vs Myanmar,17-10-2023,Macao,MF,2023,FAIL,"['Chi-Kin Lei', 'Cheng-Lam Lei']",0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Cheng Lam Lei,C Lei,multiple,Done
16,82,3797,"Gold Cup, 2023",Guadeloupe vs Guatemala,05-07-2023,Guatemala,GT,2023,FAIL,"['Josué García', 'Wilmer García', 'Nelson García']",0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Gabriel Garcia,E García,multiple,Done
17,83,2442,"World Cup Qualifiers, Asia, 2018",Cambodia vs Macao,12-03-2015,Macao,MF,2015,FAIL,"['Man Chan', 'Pak-Chun Chan', 'Ka-Chon Chang']",0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Must Chao Pak Kei,Pang Chi-Hang,multiple,Done
18,84,2450,"World Cup Qualifiers, Asia, 2018",Kuwait vs Myanmar,03-09-2015,Kuwait,KW,2015,FAIL,"['Abdulrahman Al Enezi', 'Meeian Al Enezi']",0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Abdulaziz Wadi,Abdel Aziz Al Enezi,multiple,Done
19,86,2474,"World Cup Qualifiers, Asia, 2018",Lebanon vs Kuwait,11-06-2015,Kuwait,KW,2015,FAIL,"['Abdulrahman Al Enezi', 'Meeian Al Enezi']",0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Abdulaziz Wadi,Abdel Aziz Al Enezi,multiple,Done
20,88,446,"Euros 2016, Qualifiers",Ireland vs Gibraltar,11.10.14,Ireland,IE,2014,FAIL,"['John OShea', 'Dara OShea']",0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,John Oshea,O`Shea,multiple,Done
21,89,449,"Euros 2016, Qualifiers",Germany vs Ireland,14.10.14,Ireland,IE,2014,FAIL,"['John OShea', 'Dara OShea']",0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,John Oshea,O`Shea,multiple,Done
