,Unnamed: 0,Match ID,Competition,Match,Date,Nationality,Team Country Code,Season,Status,Name,Market Value,Lookup Still Required?,Lookup Return Case,Impute Required?,Name(s) Found,ORIGINAL JERSEY,Match Case,Status New
25,302,4130,"World Cup 2022, Qualifiers, CONCACAF",Grenada vs Montserrat,08-Jun-21,Grenada,GD,2021,FAIL,"['Kwasi Paul', 'Kwesi Paul']",0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Kwasi Paul,Paul,multiple,Done
26,311,4134,"World Cup 2022, Qualifiers, CONCACAF",Bermuda vs Cayman Islands,08-Jun-21,Bermuda,BM,2021,FAIL,"['Detre Bell', 'Ashton Bell', 'Tahj Bell', 'Justin Bell']",0,TRUE,Name Confusion,FALSE,"['Detre Bell', 'Justin Bell']",Bell,multiple,Multi
27,313,4134,"World Cup 2022, Qualifiers, CONCACAF",Bermuda vs Cayman Islands,08-Jun-21,Bermuda,BM,2021,FAIL,"['Cecoy Robinson', 'Luke Robinson', 'Riley Robinson']",0,TRUE,Name Confusion,FALSE,"['Cecoy Robinson', 'Luke Robinson']",Robinson,multiple,Multi
28,314,4134,"World Cup 2022, Qualifiers, CONCACAF",Bermuda vs Cayman Islands,08-Jun-21,Bermuda,BM,2021,FAIL,"['Rahzir Jones', 'Richard Jones', 'Reece Jones']",0,TRUE,Name Confusion,FALSE,"['Rahzir Jones', 'Richard Jones']",Jones,multiple,Multi
29,320,4136,"World Cup 2022, Qualifiers, CONCACAF",Panama vs Dominican Republic,08-Jun-21,Dominican Republic,DO,2021,FAIL,"['Jean Carlos López', 'Luis López', 'Brian López']",0,TRUE,Name Confusion,FALSE,"['Jean Carlos López', 'Brian López']",López,multiple,Multi
30,325,4141,"World Cup 2022, Qualifiers, CONCACAF",El Salvador vs Saint Kitts and Nevis,15-Jun-21,Saint Kitts and Nevis,KN,2021,FAIL,"['Gerard Williams', 'Petrez Williams', 'Tiquanny Williams']",0,TRUE,Name Confusion,FALSE,"['Gerard Williams', 'Petrez Williams', 'Tiquanny Williams']",Williams,multiple,Multi
31,326,4141,"World Cup 2022, Qualifiers, CONCACAF",El Salvador vs Saint Kitts and Nevis,15-Jun-21,Saint Kitts and Nevis,KN,2021,FAIL,"['Gerard Williams', 'Petrez Williams', 'Tiquanny Williams']",0,TRUE,Name Confusion,FALSE,"['Gerard Williams', 'Petrez Williams', 'Tiquanny Williams']",Williams,multiple,Multi
32,331,4147,"World Cup 2022, Qualifiers, CONCACAF",El Salvador vs Honduras,05-Sep-21,Honduras,HN,2021,FAIL,"['Juan Carlos García', 'Boniek García', 'Brayan García', 'Devron García', 'José García']",0,TRUE,Name Confusion,FALSE,"['Boniek García', 'José García']",García,multiple,Multi
33,332,4147,"World Cup 2022, Qualifiers, CONCACAF",El Salvador vs Honduras,05-Sep-21,Honduras,HN,2021,FAIL,"['Juan Carlos García', 'Boniek García', 'Brayan García', 'Devron García', 'José García']",0,TRUE,Name Confusion,FALSE,"['Boniek García', 'José García']",García,multiple,Multi
34,369,2834,"World Cup Qualifiers, Europe, 2014",Poland vs San Marino,26-03-2013,San Marino,SM,2013,FAIL,"['Alessandro Della Valle', 'Alex Della Valle']",0,TRUE,Name Confusion,FALSE,"['Alessandro Della Valle', 'Alex Della Valle']",A Della Valle,multiple,Multi
