"interval","sum_rank_prediction_correct","average_rank_prediction_correct","sample_size","seasons"
141,35,0.972222222222222,36,"2023_2024"
143,32,0.96969696969697,33,"2023_2024"
145,30,0.967741935483871,31,"2023_2024"
147,29,0.966666666666667,30,"2023_2024"
149,23,1,23,"2023_2024"
151,21,1,21,"2023_2024"
153,19,1,19,"2023_2024"
155,16,1,16,"2023_2024"
157,14,1,14,"2023_2024"
159,14,1,14,"2023_2024"
161,13,1,13,"2023_2024"
163,12,1,12,"2023_2024"
165,11,1,11,"2023_2024"
167,10,1,10,"2023_2024"
169,8,1,8,"2023_2024"
171,8,1,8,"2023_2024"
173,8,1,8,"2023_2024"
175,8,1,8,"2023_2024"
177,8,1,8,"2023_2024"
179,8,1,8,"2023_2024"
181,8,1,8,"2023_2024"
183,8,1,8,"2023_2024"
185,8,1,8,"2023_2024"
187,8,1,8,"2023_2024"
189,8,1,8,"2023_2024"
191,5,1,5,"2023_2024"
193,4,1,4,"2023_2024"
195,2,1,2,"2023_2024"
197,1,1,1,"2023_2024"
199,1,1,1,"2023_2024"
201,0,NA,0,"2023_2024"
203,0,NA,0,"2023_2024"
205,0,NA,0,"2023_2024"
207,0,NA,0,"2023_2024"
209,0,NA,0,"2023_2024"
