,Unnamed: 0,Match ID,Competition,Match,Date,Nationality,Team Country Code,Season,Status,Name,Market Value,Lookup Still Required?,Lookup Return Case,Impute Required?,Name(s) Found,ORIGINAL JERSEY,Match Case,Status New
472,1109,2650,"World Cup Qualifiers, Asia, 2022",India vs Afghanistan,15-06-2021,Afghanistan,AF,2021,FAIL,Hassan Amin,0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Hassan Amin,Hassan Amin,single,Done
473,1110,2650,"World Cup Qualifiers, Asia, 2022",India vs Afghanistan,15-06-2021,Afghanistan,AF,2021,FAIL,Rahmatullah Khairkhah,0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Rahmatullah Khairkhah,R Khairkhah,single,Done
474,1119,2665,"World Cup Qualifiers, Asia, 2022",Syria vs Iran,16-11-2021,Syria,SY,2021,FAIL,Ahmed El Ashkar,0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Ahmed El Ashkar,Ahmad Ashkar,single,Done
475,1120,2669,"World Cup Qualifiers, Asia, 2022",Australia vs Kuwait,03-06-2021,Kuwait,KW,2021,FAIL,Fahad Aidh Al-Rashidi,0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Fahad Aidh Al-Rashidi,Fahad Al Rashidi,single,Done
476,1121,2669,"World Cup Qualifiers, Asia, 2022",Australia vs Kuwait,03-06-2021,Kuwait,KW,2021,FAIL,Ahmad Raheel Al-Dhufairi,0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Ahmad Raheel Al-Dhufairi,A Al Dhufairi,single,Done
477,1124,2674,"World Cup Qualifiers, Asia, 2022",Iran vs United Arab Emirates,01-02-2022,United Arab Emirates,AE,2022,FAIL,Mahmoud Khamisi,0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Mahmoud Khamisi,Mahmoud Khamis,single,Done
478,1129,4177,"World Cup 2022, Qualifiers, CONCACAF",Honduras vs Canada,27-Jan-22,Honduras,HN,2022,FAIL,Wisdom Quaye,0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Wisdom Quaye,Quaye,single,Done
479,1130,4178,"World Cup 2022, Qualifiers, CONCACAF",Costa Rica vs Panama,27-Jan-22,Costa Rica,CR,2022,FAIL,José Guillermo Ortiz,0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,José Guillermo Ortiz,Ortiz,single,Done
480,1131,4179,"World Cup 2022, Qualifiers, CONCACAF",Canada vs USA,30-Jan-22,USA,US,2022,FAIL,Gyasi Zardes,0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Gyasi Zardes,Zardes,single,Done
481,1132,4182,"World Cup 2022, Qualifiers, CONCACAF",Honduras vs El Salvador,30-Jan-22,Honduras,HN,2022,FAIL,Wisdom Quaye,0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Wisdom Quaye,Quaye,single,Done
482,1133,4182,"World Cup 2022, Qualifiers, CONCACAF",Honduras vs El Salvador,30-Jan-22,Honduras,HN,2022,FAIL,Jonathan Rubio Toro,0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Jonathan Rubio Toro,Toro,single,Done
483,1134,4183,"World Cup 2022, Qualifiers, CONCACAF",USA vs Honduras,02-Feb-22,Honduras,HN,2022,FAIL,Wisdom Quaye,0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Wisdom Quaye,Quaye,single,Done
484,1135,4191,"World Cup 2022, Qualifiers, CONCACAF",El Salvador vs Costa Rica,27-Mar-22,El Salvador,SV,2022,FAIL,Kevin Santamaría,0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Kevin Santamaría,Santamaría,single,Done
485,1136,4192,"World Cup 2022, Qualifiers, CONCACAF",Canada vs Jamaica,27-Mar-22,Jamaica,JM,2022,FAIL,Nicholas Nelson,0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Nicholas Nelson,Nelson,single,Done
486,1140,1143,Euros 2016,Czech vs Croatia,17.06.16,Croatia,HR,2016,FAIL,Danijel Pranjic,0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Danijel Pranjic,Pranjic,single,Done
487,1141,2278,"World Cup Qualifiers, Asia, 2018",Saudi Arabia vs Australia,06-10-2016,Saudi Arabia,SA,2016,FAIL,Nayef Hazazi,0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Nayef Hazazi,Naif Hazazi,single,Done
488,1143,2288,"World Cup Qualifiers, Asia, 2018",Cambodia vs Afghanistan,16-06-2015,Cambodia,KH,2015,FAIL,Sovann Ouk,0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Sovann Ouk,Sovan Sok,single,Done
489,1147,2298,"World Cup Qualifiers, Asia, 2018",Vietnam vs Chinese Taipei,24-03-2016,Vietnam,VN,2016,FAIL,Pham Thanh Long Le,0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Pham Thanh Long Le,Phm Thành Lng,single,Done
490,1151,2302,"World Cup Qualifiers, Asia, 2018",Saudi Arabia vs Thailand,1-9-2016,Saudi Arabia,SA,2016,FAIL,Nayef Hazazi,0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Nayef Hazazi,Naif Hazazi,single,Done
491,1152,2304,"World Cup Qualifiers, Asia, 2018",Qatar vs Maldives,13-10-2015,Maldives,MV,2015,FAIL,Ali Shamis,0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Ali Shamis,Ali Shaamiu,single,Done
492,1154,2305,"World Cup Qualifiers, Asia, 2018",Iraq vs Thailand,24-03-2016,Iraq,IQ,2016,FAIL,Faisal Jasim,0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Faisal Jasim,Faisal Jasim,single,Done
493,1155,2305,"World Cup Qualifiers, Asia, 2018",Iraq vs Thailand,24-03-2016,Iraq,IQ,2016,FAIL,Ali Rehema,0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Ali Rehema,Ali Rehema,single,Done
