,index,Match ID,Competition,Match,Date,Nationality,Team Country Code,Season,Status,Name,Market Value,Lookup Still Required?,Lookup Return Case,Impute Required?,Name(s) Found,ORIGINAL JERSEY,Match Case,Status New,Market Value New
10484,73181,4303,"World Cup 2018, Qualifiers, CONMEBOL",Ecuador vs Brazil,01-Sep-16,Ecuador,EC,2016,SUCCESS,"['Wálter Ayoví', 'Jaime Ayoví']",800000,False,Only Before,False,Wálter Ayoví,Ayoví,multiple,,0
10485,73182,4304,"World Cup 2018, Qualifiers, CONMEBOL",Bolivia vs Peru,01-Sep-16,Bolivia,BO,2016,SUCCESS,"['Edemir Rodríguez', 'Rodrigo Rodríguez']",200000,False,Only Before,False,Edemir Rodríguez,Rodríguez,multiple,,0
10486,73184,4309,"World Cup 2018, Qualifiers, CONMEBOL",Chile vs Bolivia,06-Sep-16,Bolivia,BO,2016,SUCCESS,"['Edemir Rodríguez', 'Rodrigo Rodríguez']",200000,False,Only Before,False,Edemir Rodríguez,Rodríguez,multiple,,0
10487,73186,4312,"World Cup 2018, Qualifiers, CONMEBOL",Peru vs Ecuador,06-Sep-16,Ecuador,EC,2016,SUCCESS,"['Wálter Ayoví', 'Jaime Ayoví']",0,False,"Did Not Find in Curr Season, One Up, or One Down",True,"['Wálter Ayoví', 'Jaime Ayoví']",Ayoví,multiple,,0
10488,73188,4317,"World Cup 2018, Qualifiers, CONMEBOL",Brazil vs Bolivia,06-Oct-16,Bolivia,BO,2016,SUCCESS,"['Edemir Rodríguez', 'Rodrigo Rodríguez']",200000,False,Only Before,False,Edemir Rodríguez,Rodríguez,multiple,,0
10489,73190,4324,"World Cup 2018, Qualifiers, CONMEBOL",Venezuela vs Bolivia,10-Nov-16,Bolivia,BO,2016,SUCCESS,"['Edemir Rodríguez', 'Rodrigo Rodríguez']",200000,False,Only Before,False,Edemir Rodríguez,Rodríguez,multiple,,0
10490,73191,4325,"World Cup 2018, Qualifiers, CONMEBOL",Uruguay vs Ecuador,10-Nov-16,Ecuador,EC,2016,SUCCESS,"['Wálter Ayoví', 'Jaime Ayoví']",0,False,"Did Not Find in Curr Season, One Up, or One Down",True,"['Wálter Ayoví', 'Jaime Ayoví']",Ayoví,multiple,,0
10491,73193,4329,"World Cup 2018, Qualifiers, CONMEBOL",Ecuador vs Venezuela,15-Nov-16,Ecuador,EC,2016,SUCCESS,"['Wálter Ayoví', 'Jaime Ayoví']",800000,False,Only Before,False,Wálter Ayoví,Ayoví,multiple,,0
10492,73195,4344,"World Cup 2018, Qualifiers, CONMEBOL",Chile vs Paraguay,31-Aug-17,Paraguay,PY,2017,SUCCESS,"['Sergio Díaz', 'Franco Díaz']",0,False,Only Before + Zero Before,True,Sergio Díaz,Díaz,multiple,,0
10493,73196,2635,"World Cup Qualifiers, Asia, 2022",Palestine vs Yemen,15-06-2021,Yemen,YE,2021,SUCCESS,Gehad Abdulrab,0,False,Only Before + Zero Before,True,Gehad Abdulrab,Gehad Ahmed,single,,0
