,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Match ID,Competition,Match,Date,Nationality,Team Country Code,Season,Status,Name,Market Value,Lookup Still Required?,Lookup Return Case,Impute Required?,Name(s) Found,ORIGINAL JERSEY,Match Case,Status New
66,66,5318,918,2267,"World Cup Qualifiers, Asia, 2018",Chinese Taipei vs Vietnam,08-09-2015,Vietnam,VN,2015,SUCCESS,"['Hai Huy Nguyen', 'Hai Anh Nguyen']",0.0,False,Large Dataset said 0,False,Huy Hung Nguyen,H Nguyn,multiple,Done
67,67,5457,1057,2274,"World Cup Qualifiers, Asia, 2018",Vietnam vs Iraq,08-10-2015,Vietnam,VN,2015,SUCCESS,"['Nguyen Manh Tran', 'Tien Thanh Dinh', 'Xuan Thanh Nguyen']",0.0,False,Large Dataset said 0,False,"['Tien Thanh Dinh', 'Xuan Thanh Nguyen']",Nguyn Thanh Hin,multiple,Multi
68,68,5462,1062,2274,"World Cup Qualifiers, Asia, 2018",Vietnam vs Iraq,08-10-2015,Vietnam,VN,2015,SUCCESS,"['Hai Huy Nguyen', 'Hai Anh Nguyen']",0.0,False,Large Dataset said 0,False,Huy Hung Nguyen,H Nguyn,multiple,Done
69,69,5480,1080,2275,"World Cup Qualifiers, Asia, 2018",Maldives vs Qatar,11-06-2015,Maldives,MV,2015,SUCCESS,"['Shafiu Ahmed', 'Shamweel Qasim', 'Hussain Shareef', 'Mohamed Shafeeu', 'Labaan Shareef', 'Ali Shamal Abdulla', 'Ali Shamis']",0.0,False,Large Dataset said 0,False,Shafiu Ahmed,Sha,multiple,Done
70,70,5484,1084,2275,"World Cup Qualifiers, Asia, 2018",Maldives vs Qatar,11-06-2015,Maldives,MV,2015,SUCCESS,"['Fayaz Abdulla', 'Azzam Abdulla', 'Ahmed Abdulla']",0.0,False,Large Dataset said 0,False,Abdulla Assadhulla,Assadhulla Abdulla,multiple,Done
71,71,7312,646,1697,Nations League 2020-2021,Gibraltar vs San Marino,05.09.20,Gibraltar,GI,2020,SUCCESS,"['Dean Torrilla', 'Graeme Torrilla']",0.0,False,Large Dataset said 0,False,Graeme Torrilla,Torilla,multiple,Done
72,72,7333,667,1698,Nations League 2020-2021,San Marino vs Liechtenstein,08.09.20,San Marino,SM,2020,SUCCESS,"['Luca Tosi', 'Alessandro Tosi']",0.0,False,Large Dataset said 0,False,Luca Tosi,Tosi,multiple,Done
73,73,7366,700,1699,Nations League 2020-2021,Liechtenstein vs Gibraltar,10.10.20,Gibraltar,GI,2020,SUCCESS,"['Dean Torrilla', 'Graeme Torrilla']",0.0,False,Large Dataset said 0,False,Graeme Torrilla,Torilla,multiple,Done
74,74,7378,712,1700,Nations League 2020-2021,Liechtenstein vs San Marino,13.10.20,Liechtenstein,LI,2020,SUCCESS,"['Martin Büchel', 'Marcel Büchel']",0.0,False,Large Dataset said 0,False,Martin Büchel,M-n Buchel,multiple,Done
75,75,7411,745,1701,Nations League 2020-2021,San Marino vs Gibraltar,14.11.20,Gibraltar,GI,2020,SUCCESS,"['Dean Torrilla', 'Graeme Torrilla']",0.0,False,Large Dataset said 0,False,Graeme Torrilla,Torilla,multiple,Done
